Recipe Image,Recipe Name,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Base Value,Effect,Where to Unlock,Used for Festivals
Salads,,,,,,,,,
,Macaroni Salad,Pasta,Cucumber,Mayonnaise (any),Carrot,"1,859G",Stamina Saver Lv. 4,Nadine's Bistro,
,Guacamole Salad,Avocado,Onion,Tomato,Salt,"1,309G",Stamina Saver Lv. 3,"Plower title, Nadine's Bistro",
,Kinpira Gobo,Burdock,Carrot,Chili Pepper,,909G,Stamina Saver Lv. 3,Clara's Diner,
,Marinated Peppers,Red Bell Pepper,Vinegar,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,598G,Stamina Saver Lv. 2,Mini Madeleine's,
,Mixed Salad,Tomato,Cucumber,"Cucumber, Onion, Asparagus, Tomato, Red Bell Pepper, Carrot, Turnip, Sweet Potato, Pumpkin, Eggplant",,404G,Stamina Saver Lv. 1,Clara's Diner,
,Turnip Salad,Turnip,,,,260G,Stamina Saver Lv. 1,Available at the start,
,Herb Salad,"Mint, Chamomile, Lavender","Mint, Chamomile, Lavender",,,137G,Stamina Saver Lv. 1,Available at the start,
,Tomato Salad,Tomato,"Mint, Chamomile, Lavender",,,126G,Stamina Saver Lv. 1,Mini Madeleine's,
,Caprese Salad,Tomato,Cheese (any),Olive Oil,Salt,"2,429G",Watering Rare Crop % Lv. 4,Avant-Garde Crops request from Erik,
,Poke,Avocado,Salmon,Soy Sauce,,"1,197G",Watering Rare Crop % Lv. 3,Mini Madeleine's,
,Mashed Potatoes,Potato,Butter (any),,,677G,Watering Rare Crop % Lv. 2,Café Madeleine,
,Onion Salad,Onion,,,,325G,Watering Rare Crop % Lv. 1,Café Madeleine,
Soups,,,,,,,,,
,Asparagus Soup,Asparagus,"Milk, Buffalo Milk","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",Onion,"1,728G",Rod Durability Up Lv. 4,Clara's Diner,Hearth Day
,Onion Soup,Onion,Butter (any),,,"1,024G",Rod Durability Up Lv. 3,Mini Madeleine's,Hearth Day
,Radish Soup,Radish,"Milk, Buffalo Milk",Salt,,770G,Rod Durability Up Lv. 2,Pantry Patron request from Mina,Hearth Day
,Miso Soup,Miso,"Tofu, Green Onion, Fried Tofu, Potato, Shimeji Mushroom",,,260G,Rod Durability Up Lv. 1,Clara's Diner,Hearth Day
,Corn Soup,Corn,"Milk, Buffalo Milk",Butter (any),Onion,"1,815G",Run Speed Up Lv. 4,Mini Madeleine's,Hearth Day
,Pumpkin Soup,Pumpkin,"Milk, Buffalo Milk",Onion,,"1,320G",Run Speed Up Lv. 3,Clara's Calamity request from Clara,Hearth Day
,Vichyssoise Soup,Potato,Onion,"Milk, Buffalo Milk",,709G,Run Speed Up Lv. 2,Nadine's Bistro,
,Gazpacho Soup,Tomato,Garlic,"Bread, White Bread, Baguettes, Focaccia Bread",,490G,Run Speed Up Lv. 1,Café Madeleine,
,Herb Soup,"Mint, Chamomile, Lavender","Mint, Chamomile, Lavender",,,137G,Run Speed Up Lv. 1,Available at the start,Hearth Day
,Egg Drop Soup,"Egg, Silkie Egg",,,,117G,Run Speed Up Lv. 1,Available at the start,Hearth Day
Sides,,,,,,,,,
,Khachapuri,Wheat Flour,Cheese+,Yogurt+,Butter+,"10,098G",Double Forage,A Homemade Meal request from Samir,
,Morel Cream Stew,Morel Mushroom,Buffalo Milk,Butter (any),Urchin,"2,592G",Max Stamina Up Lv. 4,Nadine's Bistro,Hearth Day
,Quiche,Wheat Flour,Spinach,Pumpkin,Mushroom (any),"1,892G",Max Stamina Up Lv. 4,Main Mushroom request from Mina,
,Fish & Chips,"Yellow Perch, Snakehead, Masu Trout, Char, Salmon, Icefish, Cherry Salmon",Potato,"Wheat Flour, Rice Flour","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil","1,584G",Max Stamina Up Lv. 3,Mini Madeleine's,
,Spring Rolls,Wheat Flour,Shiitake Mushroom,Carrot,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil","1,530G",Max Stamina Up Lv. 3,Clara's Diner,
,Steamed Bun,Wheat Flour,Napa Cabbage,Shiitake Mushroom,Green Onion,1377G,Max Stamina Up Lv. 3,Mini Madeleine's,
,Gyoza,Wheat Flour,Cabbage,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,"1,353G",Max Stamina Up Lv. 3,Clara's Diner,
,Stir-Fried Vegetables,Cabbage,Napa Cabbage,,,"1,276G",Max Stamina Up Lv. 3,Clara's Diner,
,Stuffed Cabbage,Cabbage,Carrot,,,"1,213G",Max Stamina Up Lv. 3,Famed Foodie request from Madeleine,
,Scones,Wheat Flour,Butter (any),"Milk, Buffalo Milk",,"1,155G",Max Stamina Up Lv. 3,Café Madeleine,
,Galette,Buckwheat Flour,Potato,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,"1,122G",Max Stamina Up Lv. 3,Mini Madeleine's,
,Buttered Roll,Wheat Flour,"Egg, Silkie Egg",Butter (any),,"1,056G",Max Stamina Up Lv. 3,Café Madeleine,
,Chili con Carne,Tomato,Soybean,Chili Pepper,Pepper,911G,Max Stamina Up Lv. 2,Nadine's Bistro,Hearth Day
,Sauteed Turnips,Turnip,Butter (any),,,882G,Max Stamina Up Lv. 2,Café Madeleine,
,Focaccia Bread,Wheat Flour,Olive Oil,,,843G,Max Stamina Up Lv. 2,Bookshelves in Lloyd's House,
,Freeze-Dried Tofu,Tofu,Soy Sauce,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,824G,Max Stamina Up Lv. 2,Clara's Diner,
,Lightly Fried Tofu,Tofu,"Wheat Flour, Rice Flour","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,809G,Max Stamina Up Lv. 2,Clara's Diner,
,Rolled Egg,"Egg, Silkie Egg",Soy Sauce,Sugar,,801G,Max Stamina Up Lv. 2,Clara's Diner,
,Steamed Egg Custard,"Egg, Silkie Egg",Shiitake Mushroom,Fish Cake,,747G,Max Stamina Up Lv. 2,Clara's Diner,
,Soy Okara,Tofu,Carrot,,,743G,Max Stamina Up Lv. 2,Clara's Diner,
,Buttered Potato,Potato,Butter (any),,,677G,Max Stamina Up Lv. 2,Count on Coach! request from Freya,
,Baguettes,Wheat Flour,Salt,,,662G,Max Stamina Up Lv. 2,Mini Madeleine's,
,Hash Browns,Potato,Wheat Flour,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,632G,Max Stamina Up Lv. 2,Mini Madeleine's,
,Steamed Muffin,Wheat Flour,"Egg, Silkie Egg",Sweet Potato,,609G,Max Stamina Up Lv. 2,"Bug Collector title, Generous Bug Catcher title, Clara's Diner",
,Sauteed Cauliflower,Cauliflower,,,,602G,Max Stamina Up Lv. 2,Mini Madeleine's,
,Broccoli & Garlic Saute,Broccoli,Garlic,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,563G,Max Stamina Up Lv. 2,Nadine's Bistro,
,Chilled Tofu,Tofu,Soy Sauce,,,458G,Max Stamina Up Lv. 1,Clara's Diner,
,Potato Pancakes,Potato,Wheat Flour,"Egg, Silkie Egg",,429G,Max Stamina Up Lv. 1,Café Madeleine,
,Corn Flakes Cereal,Corn,"Milk, Buffalo Milk",,,403G,Max Stamina Up Lv. 1,Clara's Diner,
,Fried Egg,"Egg, Silkie Egg","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,,396G,Max Stamina Up Lv. 1,Café Madeleine,
,Fried Tofu,Tofu,,,,267G,Max Stamina Up Lv. 1,Nadine's Bistro,
,Miso Glazed Eggplant,Eggplant,Miso,,,246G,Max Stamina Up Lv. 1,Nadine's Bistro,
,Toast,"Bread, White Bread",,,,234G,Max Stamina Up Lv. 1,Bookshelves in June's House,
,Tofu,Soybean,Soy Milk,,,205G,Max Stamina Up Lv. 1,Mini Madeleine's,
,Fried Mushrooms,Mushroom (any),,,,195G,Max Stamina Up Lv. 1,Felix’s Fixings (Autumn),
,Boiled Egg,"Egg, Silkie Egg",,,,117G,Max Stamina Up Lv. 1,Available at the start,
